asset_id,asset_category,asset_subtype,timestamp,operational_hours,engine_temp,hydraulic_pressure,vibration,outside_temp,environment_type,cycles_count,fuel_flow,brake_pressure,coolant_temp,oil_quality,battery_voltage,failure_flag,time_to_failure
Ar-Mai-009,ArmoredVehicle,MainBattleTank,8/5/2025,2442,74,2894,1.07,19,Arctic,128,195.6617566,3721.559404,60.5740511,86.03609097,26.09026221,0,9
Ar-Mai-010,ArmoredVehicle,MainBattleTank,11/25/2025,1393,77,2800,1.15,19,Desert,369,181.3779411,2526.778102,85.02930565,58.93259403,27.47576704,0,10
Ar-Mai-011,ArmoredVehicle,MainBattleTank,11/24/2025,2079,108,2703,0.73,38,Temperate,276,193.0249621,3844.868161,105.9246747,79.94722922,24.93163425,1,0
Ar-Mai-012,ArmoredVehicle,MainBattleTank,2/27/2025,3805,93,3399,1.98,41,HighAltitude,122,58.68877497,3756.019198,107.3474723,54.2826726,24.91594278,1,0
Ar-Mai-013,ArmoredVehicle,MainBattleTank,2/5/2025,3115,104,3284,0.69,32,Coastal,281,74.76904385,3055.347575,90.32969587,98.2181453,27.57348096,0,23
Ar-Mai-014,ArmoredVehicle,MainBattleTank,4/13/2025,2920,89,2908,1.99,31,HighAltitude,224,184.9421127,2902.972283,72.39528068,53.20129482,22.12620556,1,0
Ar-Mai-015,ArmoredVehicle,MainBattleTank,10/11/2025,942,107,2725,0.51,35,Desert,117,60.11004922,2062.825916,76.52142445,75.70780599,23.67086358,0,18
Ar-Mai-016,ArmoredVehicle,MainBattleTank,3/9/2025,2962,106,3090,1.21,40,Coastal,208,78.56148715,2193.861628,81.55255912,71.17893115,24.80214801,0,22
Ar-Mai-017,ArmoredVehicle,MainBattleTank,12/1/2025,2646,76,2562,1.1,11,Desert,127,78.73851082,3072.571508,67.00911485,59.17440179,24.77576841,0,3
Ar-Mai-018,ArmoredVehicle,MainBattleTank,8/15/2025,3309,105,2600,0.58,24,Desert,47,188.9550475,3697.391469,68.31555553,74.28205627,23.2824838,0,2
Ar-Mai-019,ArmoredVehicle,MainBattleTank,3/26/2025,1552,70,2899,0.9,40,Coastal,146,113.4511229,3914.635282,109.7711345,77.78841617,26.31044965,1,0
Ar-Mai-020,ArmoredVehicle,MainBattleTank,3/21/2025,777,88,2722,1.95,27,Arctic,31,162.1963341,2114.330546,89.20887972,75.14251915,27.11631935,1,0
Ar-Mai-021,ArmoredVehicle,MainBattleTank,3/22/2025,232,102,2582,1.78,-6,Arctic,34,151.281883,2470.40779,65.9943307,94.51436571,23.47729209,0,20
Ar-Mai-022,ArmoredVehicle,MainBattleTank,2/11/2025,1717,112,3097,1.35,10,HighAltitude,104,150.4588962,2628.367726,73.28072563,56.54391411,25.87300473,1,0
Ar-Mai-023,ArmoredVehicle,MainBattleTank,8/23/2025,1295,118,3458,0.61,19,Arctic,288,199.4144672,2146.521442,70.65771561,63.26002074,27.59955627,1,0
Ar-Mai-024,ArmoredVehicle,MainBattleTank,2/5/2025,3601,85,2878,0.93,18,Arctic,360,95.37757145,3967.706621,100.3549972,76.44703463,26.00717922,1,0
Ar-Mai-025,ArmoredVehicle,MainBattleTank,10/11/2025,1226,112,2606,1.91,-2,HighAltitude,59,183.4569061,3484.833368,67.77239549,64.08781357,23.26377793,1,0
Ar-Mai-026,ArmoredVehicle,MainBattleTank,6/25/2025,833,113,3149,1.78,22,Coastal,128,185.8004737,3692.207427,64.61492339,71.17878863,23.66008134,1,0
Ar-Mai-027,ArmoredVehicle,MainBattleTank,1/2/2025,1366,119,2633,1.46,6,Temperate,379,116.2753268,3411.334894,88.04534324,55.59369403,27.67030563,1,0
Ar-Mai-028,ArmoredVehicle,MainBattleTank,12/20/2025,3702,79,3058,0.55,13,Arctic,282,72.21406784,2254.891039,75.4129175,94.94907444,26.77673383,0,29
Ar-Mai-029,ArmoredVehicle,MainBattleTank,7/3/2025,860,113,2755,1.5,12,Arctic,208,196.0755534,3498.955222,106.2881911,61.83686661,22.9750106,1,0
Ar-Mai-030,ArmoredVehicle,MainBattleTank,4/1/2025,3610,96,2525,0.77,11,Coastal,342,179.6096043,3621.498633,73.34028548,89.36872546,22.64857376,0,28
Ar-Mai-031,ArmoredVehicle,MainBattleTank,8/29/2025,911,82,3336,1.88,12,HighAltitude,116,83.43853208,3320.066365,79.92329893,63.93015305,22.41652453,1,0
Ar-Mai-032,ArmoredVehicle,MainBattleTank,5/23/2025,1438,111,3021,1.1,43,Arctic,169,190.885571,2230.683504,108.5200306,58.92839081,27.77520589,1,0
Ar-Mai-033,ArmoredVehicle,MainBattleTank,5/16/2025,156,76,3110,1.15,36,HighAltitude,223,140.931328,3022.846119,79.25977167,78.82940217,23.52833504,0,1
Ar-Mai-034,ArmoredVehicle,MainBattleTank,9/24/2025,3791,104,3203,1.58,37,Temperate,186,114.6946099,3897.748972,106.0385428,81.1577705,25.98032486,1,0
Ar-Mai-035,ArmoredVehicle,MainBattleTank,3/5/2025,2948,89,3019,0.96,16,HighAltitude,206,154.5812621,3108.824955,69.59200465,83.24647171,24.27487166,0,6
Ar-Mai-036,ArmoredVehicle,MainBattleTank,11/12/2025,2331,89,2915,1.32,-10,HighAltitude,146,81.52740273,3571.517655,90.33307852,66.11246149,24.6507161,0,17
Ar-Mai-037,ArmoredVehicle,MainBattleTank,8/31/2025,3251,120,3253,0.75,-5,HighAltitude,263,149.5780754,3238.521611,64.66936,97.59998312,23.40921159,1,0
Ar-Mai-038,ArmoredVehicle,MainBattleTank,6/8/2025,920,82,2650,0.54,5,Coastal,312,177.4606542,2145.656458,80.72205055,81.48826904,23.16661142,0,16
Ar-Mai-039,ArmoredVehicle,MainBattleTank,7/24/2025,999,79,3171,1.53,38,Desert,398,113.7719291,2351.773363,107.8983021,75.89788752,22.30131031,1,0
Ar-Mai-040,ArmoredVehicle,MainBattleTank,5/8/2025,3757,77,2967,0.7,19,Arctic,286,139.3178478,3900.079217,104.5712963,80.63261614,26.31564377,1,0
Ar-Mai-041,ArmoredVehicle,MainBattleTank,9/16/2025,1747,105,2956,1.85,37,Coastal,230,88.87873227,2494.479475,91.88307184,88.29068421,25.12779888,1,0
Ar-Mai-042,ArmoredVehicle,MainBattleTank,11/17/2025,979,87,2950,0.62,8,Temperate,139,100.3771305,3786.053666,64.02888288,57.5415329,24.29821175,0,7
Ar-Mai-043,ArmoredVehicle,MainBattleTank,2/2/2025,1699,96,2838,1.31,16,Desert,105,174.9336754,2778.953625,98.48978862,97.30310168,22.11719174,0,19
Ar-Mai-044,ArmoredVehicle,MainBattleTank,7/14/2025,1953,70,3465,1.03,38,Coastal,214,130.7330851,3469.268122,99.99340855,94.89056737,24.92937687,0,16
Ar-Mai-045,ArmoredVehicle,MainBattleTank,1/15/2025,1592,91,3184,1.52,15,Temperate,239,187.9312431,3961.443955,86.70618148,95.34644313,25.55135665,0,3
Ar-Mai-046,ArmoredVehicle,MainBattleTank,11/26/2025,1755,78,3387,1.19,-7,HighAltitude,194,99.10290004,2909.39865,76.8750274,93.9819993,23.66953969,0,14
Ar-Mai-047,ArmoredVehicle,MainBattleTank,5/10/2025,3419,75,2981,0.53,24,Desert,179,83.63332486,2137.236741,107.8642801,52.01290688,22.18617999,1,0
Ar-Mai-048,ArmoredVehicle,MainBattleTank,5/7/2025,816,71,3136,0.73,-2,Coastal,342,67.15841692,3895.514044,83.25169917,62.81218483,24.21337105,0,24
Ar-Mai-049,ArmoredVehicle,MainBattleTank,2/28/2025,3185,80,3487,0.97,27,Desert,159,136.3695093,3816.052302,78.76534797,97.07352993,23.18997866,0,27
Ar-Mai-050,ArmoredVehicle,MainBattleTank,11/18/2025,994,76,3213,1.66,44,Arctic,61,169.4340825,3131.865111,62.05345651,76.63726227,25.96912804,1,0
Ar-Mai-051,ArmoredVehicle,MainBattleTank,11/28/2025,1397,70,3369,1.13,21,Desert,221,194.1181351,3271.170212,101.4353656,85.36543219,24.61292287,1,0
Ar-Mai-052,ArmoredVehicle,MainBattleTank,9/25/2025,3954,111,2776,1.42,24,Coastal,238,115.336174,3462.052429,73.4197769,92.585658,26.98438611,1,0
Ar-Mai-053,ArmoredVehicle,MainBattleTank,2/14/2025,1142,98,2749,1.63,26,Arctic,342,106.8483956,2057.399996,102.5476418,59.09199286,23.2727191,1,0
Ar-Mai-054,ArmoredVehicle,MainBattleTank,5/13/2025,1394,87,3401,1.39,7,Arctic,5,127.4940878,2382.112847,72.06780252,70.32140623,25.33105727,0,16
Ar-Mai-055,ArmoredVehicle,MainBattleTank,11/27/2025,2915,101,2958,1.69,-5,HighAltitude,113,110.6601693,2486.610328,93.19800108,68.45102253,25.32083773,0,24
Ar-Mai-056,ArmoredVehicle,MainBattleTank,10/9/2025,1354,92,3219,1.18,9,HighAltitude,118,68.09838271,2385.168587,65.97773706,76.79319827,26.57313766,0,7
Ar-Mai-057,ArmoredVehicle,MainBattleTank,9/5/2025,1132,116,3103,1.96,23,Arctic,144,197.0765946,3665.256727,74.81232316,68.04405346,23.81360553,1,0
Ar-Mai-058,ArmoredVehicle,MainBattleTank,12/29/2025,2187,78,2780,0.57,-7,Arctic,149,154.6126089,2252.558986,103.4230599,74.54393473,27.23631841,1,0
Ar-Mai-059,ArmoredVehicle,MainBattleTank,10/21/2025,1164,100,2990,1.16,1,Desert,129,191.1595395,2955.458375,101.1057823,70.03537211,22.44449302,1,0
